id,d,first_name,fn_initial,mn_initial,last_name
171658,1,L,L,"",Ades
172017,1,L,L,"",Ades
181250,4,L,L,"",Ades
184538,8,L,L,"",Ades
191750,27,L,L,"",Ades
191751,21,L,L,"",Ades
191801,8,L,L,"",Ades
191811,2,L,L,"",Ades
196149,0,L,L,"",Ades
207924,6,L,L,"",Ades
209187,1,L,L,"",Ades
210290,0,L,L,"",Ades
212972,0,L,L,"",Ades
213779,15,L,L,"",Ades
238232,1,L,L,"",Ades
240399,30,L,L,"",Ades
240400,0,L,L,"",Ades
240429,0,L,L,"",Ades
240430,20,L,L,"",Ades
240441,5,L,L,"",Ades
240491,16,L,L,"",Ades
240517,0,L,L,"",Ades
240560,25,L,L,"",Ades
240630,2,L,L,"",Ades
240631,4,L,L,"",Ades
240632,27,L,L,"",Ades
248328,9,L,L,"",Ades
255470,3,L,L,"",Ades
272151,19,L,L,"",Ades
273010,1,L,L,"",Ades
274288,20,L,L,"",Ades
274331,1,L,L,"",Ades
274353,23,L,L,"",Ades
274365,12,L,L,"",Ades
280006,1,L,L,"",Ades
280007,1,L,L,"",Ades
280009,12,L,L,"",Ades
280016,12,L,L,"",Ades
280024,13,L,L,"",Ades
280028,14,L,L,"",Ades
280029,12,A,A,"",Ades
280470,0,L,L,"",Ades
280799,8,L,L,"",Ades
283849,21,L,L,"",Ades
290848,8,L,L,"",Ades
290868,2,L,L,"",Ades
295399,2,L,L,"",Ades
26764,19,L,L,"",Ades
93970,21,L,L,C,Ades
189878,20,L,L,"",Ades
276367,20,L,L,"",Ades
282600,21,L,L,"",Ades
307275,16,L,L,C,Ades
308118,22,L,L,"",Ades
76563,14,K,K,"",Abe
10569,2,C,C,L,Garcia
57930,0,C,C,L,Garcia
74105,1,D,D,N,Muller
80412,6,D,D,N,Muller
89763,6,D,D,N,Muller
110754,2,D,D,N,Muller
187993,3,D,D,N,Muller
205685,14,D,D,N,Muller
288512,14,D,D,N,Muller
108007,2,G,G,J,Muller
7881,2,G,G,J,Muller
260182,2,H,H,G,Muller
28302,1,H,H,G,Muller
56416,1,H,H,G,Muller
133994,2,H,H,G,Muller
185052,6,H,H,G,Muller
195997,10,H,H,G,Muller
2068,145,J,J,E,Garcia
2069,142,J,J,E,Garcia
2094,145,J,J,E,Garcia
2976,145,J,J,E,Garcia
3001,146,J,J,E,Garcia
3002,155,J,J,E,Garcia
13713,155,J,J,E,Garcia
13753,146,J,J,E,Garcia
13756,145,J,J,E,Garcia
21861,154,J,J,E,Garcia
24209,155,J,J,E,Garcia
24225,155,J,J,E,Garcia
24240,145,J,J,E,Garcia
29273,155,J,J,E,Garcia
30175,155,J,J,E,Garcia
31661,154,J,J,E,Garcia
35106,155,J,J,E,Garcia
111564,165,J,J,E,Garcia
111565,168,J,J,E,Garcia
111598,166,J,J,E,Garcia
116936,165,J,J,E,Garcia
116937,167,J,J,E,Garcia
116938,167,J,J,E,Garcia
118393,167,J,J,E,Garcia
119069,167,J,J,E,Garcia
121966,167,J,J,E,Garcia
174544,156,J,J,E,Garcia
104433,6,J,J,F,Garcia
131774,12,J,J,F,Garcia
131775,6,J,J,F,Garcia
199131,7,J,J,F,Garcia
70514,15,J,J,M,Garcia
317315,3,J,J,M,Garcia
149498,2,J,J,M,Garcia
315642,2,J,J,M,Garcia
317322,2,J,J,M,Garcia
2081,1039,J,J,M,Garcia
5522,1006,J,J,M,Garcia
5532,1005,J,J,M,Garcia
6167,1234,J,J,M,Garcia
6168,1235,J,J,M,Garcia
6169,1236,J,J,M,Garcia
6171,1236,J,J,M,Garcia
6172,1238,J,J,M,Garcia
6173,1236,J,J,M,Garcia
6174,1236,J,J,M,Garcia
6175,1236,J,J,M,Garcia
6176,1236,J,J,M,Garcia
6177,1234,J,J,M,Garcia
6178,1236,J,J,M,Garcia
6179,1227,J,J,M,Garcia
6180,1235,J,J,M,Garcia
6181,1236,J,J,M,Garcia
6182,1236,J,J,M,Garcia
6183,1236,J,J,M,Garcia
6184,1236,J,J,M,Garcia
6185,1236,J,J,M,Garcia
8769,1038,J,J,M,Garcia
15640,1036,J,J,M,Garcia
24208,1008,J,J,M,Garcia
39457,1005,J,J,M,Garcia
39459,1006,J,J,M,Garcia
110936,1087,J,J,M,Garcia
18738,3,L,L,M,Garcia
39487,4,L,L,M,Garcia
50844,2,L,L,M,Garcia
52485,2,L,L,M,Garcia
56133,7,L,L,M,Garcia
95900,1,L,L,M,Garcia
95911,0,L,L,M,Garcia
96781,2,L,L,M,Garcia
126449,2,L,L,M,Garcia
196269,1,L,L,M,Garcia
200471,3,L,L,M,Garcia
267082,2,L,L,M,Garcia
68774,0,M,M,A,Garcia
77073,1,M,M,A,Garcia
56388,1,M,M,R,Garcia
252066,6,M,M,R,Garcia
16232,1,N,N,L,Garcia
248171,0,N,N,L,Garcia
286553,0,N,N,L,Garcia
561,0,P,P,J,Garcia
28876,11,P,P,J,Garcia
34715,10,P,P,J,Garcia
56234,5,P,P,J,Garcia
84040,10,P,P,J,Garcia
90834,1,P,P,J,Garcia
204450,1,P,P,J,Garcia
292830,4,P,P,J,Garcia
299202,3,P,P,J,Garcia
33766,0,P,P,Y,Garcia
33776,1,P,P,Y,Garcia
74386,1,P,P,Y,Garcia
126565,2,P,P,Y,Garcia
271550,1,P,P,Y,Garcia
7425,1,R,R,A,Garcia
7480,2,R,R,A,Garcia
7486,4,R,R,A,Garcia
7488,9,R,R,A,Garcia
7489,27,R,R,A,Garcia
10047,12,R,R,A,Garcia
15204,24,R,R,A,Garcia
15205,13,R,R,A,Garcia
31545,0,R,R,A,Garcia
37539,9,R,R,A,Garcia
37559,2,R,R,A,Garcia
43169,6,R,R,A,Garcia
58023,3,R,R,A,Garcia
58024,14,R,R,A,Garcia
58025,15,R,R,A,Garcia
58026,27,R,R,A,Garcia
62564,6,R,R,A,Garcia
63948,1,R,R,A,Garcia
66463,2,R,R,A,Garcia
74650,10,R,R,A,Garcia
168286,2,R,R,A,Garcia
253356,1,R,R,A,Garcia
259667,17,R,R,A,Garcia
310413,0,R,R,A,Garcia
